x_coord_m,y_coord_m
-1994478.791,-1328079.711
-2000696.512,-1323052.618
-2002548.599,-1319745.319
-2006252.773,-1317496.356
-2011676.742,-1315644.269
-2013528.829,-1316041.145
-2014454.872,-1317760.94
-2014719.456,-1324243.245
-2012470.494,-1328608.879
-2008237.152,-1331519.301
-2002680.891,-1333635.972
-1996330.878,-1335884.935
-1995096.821,-1340356.754
-1993053.149,-1344295.992
-1999525.294,-1350395.439
-1996525.746,-1362820.775
-1995937.259,-1365258.529
-1992892.061,-1377872.967
-1991139.321,-1389973.722
-1985941.346,-1425860.077
-1986864.756,-1426946.249
-1985212.331,-1430893.129
-1986328.418,-1436142.052
-1986128.692,-1437898.312
-1991776.522,-1481073.51
-1985650.582,-1479502.532
-1982175.612,-1483742.427
-1984250.628,-1487390.383
-1985390.917,-1488656.93
-1972684.844,-1503746.412
-1969640.975,-1507714.405
-1973962.072,-1509989.712
-1980119.11,-1508929.097
-1986290.965,-1507386.732
-1992414.068,-1506236.572
-1997280.793,-1508224.227
-1993671.355,-1511730.875
-1987471.794,-1512807.983
-1982781.652,-1515375.334
-1976863.771,-1516799.547
-1972376.107,-1519933.623
-1967295.807,-1522432.255
-1960913.671,-1523467.796
-1954641.699,-1524627.879
-1949894.908,-1527537.432
-1967241.966,-1564331.407
-1971907.187,-1567293.429
-1975817.016,-1570928.816
-1981146.46,-1573467.056
-1987663.335,-1575036.691
-1994331.292,-1575319.048
-1997660.471,-1574036.452
-2015218.01,-1572279.775
-2018877.623,-1571913.622
-2025165.148,-1574193.589
-2031546.125,-1576224.212
-2038060.624,-1577040.433
-2044997.247,-1576490.839
-2051773.325,-1575057.704
-2052734.649,-1574689.311
-2067830.07,-1575926.874
-2062263.192,-1588934.698
-2057511.269,-1592622.971
-2054993.198,-1595935.549
-2050376.504,-1599102.583
-2045818.423,-1601698.54
-2036790.902,-1608705.379
-2011143.596,-1638198.664
-2040433.835,-1629737.579
-2046256.781,-1627258.912
-2111399.243,-1599529.57
-2118184.688,-1596641.194
-2128357.052,-1590441.174
-2155261.139,-1574043.228
-2176005.965,-1581198.624
-2170891.422,-1616077.754
-2150969.579,-1630807.756
-2145775.557,-1634648.161
-2124400.318,-1645676.275
-2119689.652,-1648871.848
-2113299.709,-1650792.101
-2105996.747,-1652013.719
-2099441.795,-1653877.293
-2076737.273,-1675507.414
-2076872.416,-1675020.197
-2079701.504,-1670983.585
-2066496.561,-1685263.524
-2077550.36,-1696181.307
-2083886.078,-1702439.064
-2095341.314,-1708731.428
-2111712.087,-1717723.897
-2130791.745,-1728154.958
-2147241.207,-1723385.896
-2150569.024,-1716991.341
-2157271.474,-1704112.269
-2176312.566,-1693450.778
-2198218.441,-1683242.898
-2220609.159,-1679448.842
-2222862.397,-1670656.788
-2225538.162,-1666826.722
-2230685.936,-1663904.068
-2248357.157,-1655867.672
-2251660.913,-1650242.493
-2252642.741,-1647510.432
-2254065.712,-1643071.727
-2256273.435,-1639021.327
-2260165.372,-1635762.272
-2265717.682,-1633301.669
-2272268.844,-1631321.629
-2279210.467,-1629517.956
-2285931.675,-1627592.012
-2292955.102,-1622979.817
-2294152.146,-1621058.102
-2297674.82,-1619880.439
-2311347.376,-1610901.847
-2312539.35,-1609391.106
-2317839.982,-1606638.235
-2322664.901,-1602689.39
-2326578.78,-1599486.164
-2329017.7,-1596375.965
-2332760.971,-1594426.489
-2334245.588,-1593211.438
-2336203.913,-1589938.11
-2339509.001,-1586347.375
-2345494.409,-1584005.095
-2351698.403,-1573758.255
-2356898.486,-1565169.527
-2366091.326,-1549348.186
-2382081.532,-1544755.717
-2401203.882,-1546620.648
-2412867.737,-1543782.773
-2424407.979,-1539044.96
-2438313.2,-1533336.21
