OBJECTID,Area,Area_Name,Area_sqkm,ORIG_FID,y_coord,x_coord
1,0.00000000000,,2140320.15006000000,0,9.66225831914,-90.43510488590
2,0.00000000000,,2140320.15006000000,0,9.55319061212,-90.57253019480
3,0.00000000000,,2140320.15006000000,0,9.31638149968,-90.65328249520
4,0.00000000000,,2140320.15006000000,0,9.14964009976,-90.57907425730
5,0.00000000000,,2140320.15006000000,0,9.15836551751,-90.44819301090
6,0.00000000000,,2140320.15006000000,0,9.35686874080,-90.33258124140
7,0.00000000000,,2140320.15006000000,0,9.46157374060,-90.19515593240
8,0.00000000000,,2140320.15006000000,0,9.49647540500,-90.11226447540
9,0.00000000000,,2140320.15006000000,0,9.52483301021,-89.95520697900
10,0.00000000000,,2140320.15006000000,0,9.53137707269,-89.85486468970
11,0.00000000000,,2140320.15006000000,0,9.53137707269,-89.75452239710
12,0.00000000000,,2140320.15006000000,0,9.53137707269,-89.67163094000
13,0.00000000000,,2140320.15006000000,0,9.54664654963,-89.57128865080
14,0.00000000000,,2140320.15006000000,0,9.59027363508,-89.47530906870
15,0.00000000000,,2140320.15006000000,0,9.72333623679,-89.35097188480
16,0.00000000000,,2140320.15006000000,0,9.82790143673,-89.26910844070
17,0.00000000000,,2140320.15006000000,0,9.67536523821,-88.97136762470
18,0.00000000000,,2140320.15006000000,0,9.55211617940,-87.62761762250
19,0.00000000000,,2140320.15006000000,0,8.71904638511,-87.37761762270
20,0.00000000000,,2140320.15006000000,0,9.08954027324,-86.31511762350
21,0.00000000000,,2140320.15006000000,0,9.05868032581,-84.94011762460
22,0.00000000000,,2140320.15006000000,0,9.61374548070,-83.56511762240
23,0.00000000000,,2140320.15006000000,0,9.73697259934,-82.90886762620
24,0.00000000000,,2140320.15006000000,0,9.49047449159,-82.34636762340
25,0.00000000000,,2140320.15006000000,0,9.30548456398,-81.87761762380
26,0.00000000000,,2140320.15006000000,0,8.90434053372,-81.75261762390
27,0.00000000000,,2140320.15006000000,0,8.16262224450,-81.94011762370
28,0.00000000000,,2140320.15006000000,0,7.85315921787,-81.37761762090
29,0.00000000000,,2140320.15006000000,0,7.88922313510,-81.34946348590
30,0.00000000000,,2140320.15006000000,0,7.86465711949,-81.07929311270
31,0.00000000000,,2140320.15006000000,0,7.89606861877,-80.97982336230
32,0.00000000000,,2140320.15006000000,0,7.98681295148,-80.90478478080
33,0.00000000000,,2140320.15006000000,0,8.10198844664,-80.86988311640
34,0.00000000000,,2140320.15006000000,0,8.25032052859,-80.81753061650
35,0.00000000000,,2140320.15006000000,0,8.38294685925,-80.72853136800
36,0.00000000000,,2140320.15006000000,0,8.45807282878,-80.63180694090
