Diam_km,x_coord,y_coord,Shape_Le_1,Shape_Area
7.558378515,-106.8695456,-36.13107931,26648.00936,55553043.36
0.964872473,-104.0035148,-37.27380196,3431.35058,918855.7187
2.679044403,-106.80539,-37.73036738,9561.6177,7127267.473
1.194498575,-106.7170108,-36.94912706,4237.338821,1402221.918
1.397668232,-105.4033276,-37.33800109,4972.974164,1929685.237
0.996224607,-105.4976364,-37.92937756,3561.20531,988209.6536
0.805938385,-105.4943675,-36.68625916,2853.252906,636147.1825
1.041953144,-104.5644816,-36.81247912,3692.348409,1065037.067
1.141772125,-106.5020652,-37.72254699,4074.778072,1294423.018
0.93776755,-105.8985493,-37.09655593,3330.386778,865921.7775
1.486912371,-106.4475329,-36.62579557,5261.690897,2163633.108
0.867491804,-106.0515956,-36.42938004,3065.238488,734582.9728
1.32364584,-105.9908963,-36.37296967,4675.064594,1708985.762
1.225074341,-105.9100224,-36.35835943,4326.442328,1463653.208
0.860484182,-105.8686657,-36.27013456,3036.869595,721286.1399
1.029949833,-106.8665164,-36.34208932,3636.904196,1034319.43
1.416603813,-104.2031448,-36.14176276,4994.806376,1951669.671
1.360064653,-104.4385145,-36.14687521,4795.635953,1799106.663
1.51352759,-104.5156417,-35.38941954,5307.465896,2206898.716
2.332966,-106.1353011,-34.86394879,8150.691881,5209744.839
1.374425062,-106.2980242,-34.89851987,4802.992773,1808941.101
2.46686478,-106.9045382,-35.53593228,8659.606826,5873317.561
1.295318861,-105.6864296,-35.30766123,4539.629694,1614788.042
0.942962954,-105.8033393,-35.32815717,3305.230366,855975.7646
1.26871125,-107.0864526,-34.79399565,4430.342104,1539416.999
1.010252535,-106.206867,-34.7749166,3527.335968,975865.8886
1.274780388,-107.1027388,-35.03244631,4458.96247,1558701.472
1.049064827,-106.1054011,-36.14401633,3698.961443,1070351.999
0.999856293,-106.2322528,-36.13267592,3525.158774,972152.4167
0.972323418,-106.6921714,-35.50162178,3412.373178,912070.9674
1.164371275,-106.5352932,-35.50280425,4086.400621,1307966.127
3.1048255,-103.3629195,-35.70620446,10912.48594,9323778.065
1.136748631,-103.4873833,-36.17726052,4009.116329,1257288.705
1.687638384,-102.6163369,-35.910914,5940.361592,2761822.431
2.899113308,-103.0194229,-35.61990817,10183.11646,8120420.491
2.604923046,-103.22164,-35.20862656,9122.907506,6522608.052
0.871405668,-103.5883411,-35.60715259,3060.524908,733532.9381
0.803887104,-103.7981531,-35.22571444,2815.697614,621316.677
0.805191727,-102.4171746,-35.43481241,2824.470974,624949.5456
1.41046287,-103.5134953,-34.78188582,4924.924445,1902349.237
1.232195278,-102.2824358,-36.63188207,4360.531737,1485957.028
1.525923092,-102.5810044,-36.45092497,5392.64193,2273505.304
1.047168287,-102.6912172,-36.44504327,3700.550096,1070608.557
0.908412878,-103.7018271,-36.60020383,3213.952047,807300.6506
0.918071829,-103.7011179,-37.58002265,3272.744794,835289.7874
2.839199886,-103.3752004,-37.67797475,10129.01558,7999230.18
2.599022291,-103.0891462,-37.59819502,9266.328358,6695914.868
1.116429485,-102.4591242,-37.6896397,3983.296464,1237049.621
0.942293442,-103.311469,-37.87105994,3366.848593,883410.948
1.525668535,-103.1935411,-37.83035285,5449.500426,2314573.877
0.877135374,-103.2271548,-37.75797307,3131.217131,764290.4654
0.892667028,-103.3313759,-37.14469767,3171.394752,785133.3753
1.212537104,-105.9603631,-37.95603576,4335.382778,1464475.742
0.961851604,-106.3201976,-37.94274116,3438.699763,921360.6643
0.830699928,-107.0995078,-38.26969317,2977.660164,690312.1336
0.840878347,-105.6299591,-38.63831961,3023.255811,710955.4886
1.236728579,-106.6789217,-38.78429323,4451.856261,1541032.044
1.286370195,-106.6660687,-38.13945078,4606.158889,1652388.297
1.254374704,-107.3452249,-38.42584834,4502.056,1577422.841
0.857089937,-107.7904809,-38.122957,3068.608774,733389.7196
1.319736366,-107.3871689,-38.33548806,4733.152871,1743915.483
1.826605738,-108.7936349,-38.52257626,6561.039892,3349391.018
1.852577398,-108.5877877,-38.76339873,6667.572503,3456912.503
1.139031872,-108.7224232,-39.53385657,4126.222579,1321179.352
1.730621416,-107.3809239,-38.75399961,6228.157442,3016356.129
0.943480669,-108.0492691,-38.86658808,3398.577854,897906.0036
0.925034224,-108.0869347,-38.53708622,3323.054177,859170.5563
3.560221857,-105.1972658,-38.65495461,12802.0195,12747677.65
2.550053164,-104.2462608,-39.16930987,9209.099116,6587531.138
1.049158932,-104.7027567,-39.4942435,3799.359795,1120275.774
1.51679825,-104.1118378,-39.43706628,5490.151533,2339597.776
1.026155325,-104.1638832,-39.21808397,3707.321178,1067460.596
1.246666683,-104.3516655,-39.39576329,4510.800285,1579533.927
1.166755148,-104.5644233,-38.86310102,4202.728332,1373102.69
1.960162666,-104.4648455,-38.89992863,7062.804289,3877509.786
1.468795345,-104.2129563,-38.84649093,5289.964559,2175528.218
1.329610312,-104.988616,-39.27626972,4806.02235,1793637.634
1.635064589,-104.0836097,-38.32894398,5863.745562,2676588.889
0.902319088,-104.3537193,-38.56994206,3242.329218,817866.7471
1.060479856,-104.7170826,-38.57712465,3810.878183,1129823.312
1.316362354,-104.5888437,-38.50578073,4727.629462,1739105.002
1.09069743,-105.5356115,-39.50382056,3950.109181,1210907.03
33.39460388,-109.4547938,-40.13772442,121612.946,1145688004
2.628984964,-102.274919,-39.17859736,9494.893804,7002575.197
2.111672173,-102.5307255,-39.33713394,7636.822092,4528106.737
4.229455608,-102.8403702,-38.53324482,15193.2414,17960135.64
1.23416975,-103.2902373,-39.43241878,4466.981449,1548839.386
0.815604828,-102.6912664,-39.5228424,2954.306081,677299.4347
1.305760748,-102.7805376,-39.09242528,4712.482974,1725350.294
1.791797812,-102.7972696,-38.74738636,6447.965188,3233078.421
1.789940569,-103.4454516,-38.80938363,6444.599553,3229185.546
1.168815519,-103.544601,-38.80172684,4207.999084,1376768.867
0.889466347,-103.6881963,-38.48699905,3193.968155,793817.5594
2.323462893,-102.9953503,-38.40738449,8337.844922,5410707.487
2.427015741,-103.1333777,-38.48039454,8714.654175,5909722.337
1.640316319,-102.3335519,-37.99319055,5866.638843,2681434.268
1.678275219,-102.4489537,-38.14621566,6009.797703,2812851.504
0.963992706,-108.588476,-37.73280109,3440.595162,922836.9603
1.041884693,-108.5159316,-37.60024528,3714.705093,1076071.611
0.860915892,-107.9492154,-37.35740136,3063.645447,732338.6295
1.291406183,-108.1500201,-37.1838582,4589.392102,1644050.649
1.263728363,-108.1466363,-37.08227219,4487.509804,1572222.066
2.117897106,-108.3112926,-36.89674838,7509.973893,4405111.063
0.846185894,-107.2892626,-37.15637292,3006.531572,705607.3013
1.072678463,-107.5836412,-37.17130415,3811.70853,1134113.24
1.634796116,-107.4060716,-36.42725435,5776.377722,2608707.61
1.000657845,-107.2880043,-36.58174029,3539.820823,979345.7377
2.543261581,-108.7638372,-37.61208053,9068.516717,6412878.938
2.187490049,-107.7038036,-36.07454697,7709.053032,4649754.683
1.782501699,-107.7972168,-36.2649071,6290.661944,3094942.963
1.42380176,-107.2905983,-35.45935655,4995.324055,1954689.788
1.094032764,-107.6727586,-35.83806206,3848.866752,1159573.44
0.937113209,-108.6663605,-35.27253053,3283.426644,844807.5775
0.930522171,-108.5286888,-35.01092973,3254.314493,830292.9593
2.452500265,-102.742716,-39.93972547,8915.659579,6161204.617
1.349479855,-102.277459,-41.14753025,4959.32573,1899380.501
0.814079132,-102.2830905,-41.09557291,2990.301146,690666.817
0.88277322,-102.8436366,-41.10513613,3242.915896,812263.3775
1.564088003,-103.0770994,-41.17784476,5749.617449,2552715.587
1.21888563,-103.3744608,-41.09556333,4477.248734,1548321.66
1.543640142,-103.2122791,-40.87976303,5658.949886,2475176.097
1.789151697,-102.608851,-40.34775717,6527.625986,3298756.689
1.462411171,-102.659344,-40.2982196,5333.179958,2202298.817
1.50399999,-103.0658547,-40.28287133,5484.100112,2328811.252
2.423821953,-102.7060728,-39.70427776,8793.375086,5997370.024
1.41891478,-102.3321191,-39.67075966,5146.18394,2054287.351
1.154035542,-102.5532459,-39.82592531,4191.14305,1361962.205
1.923486938,-103.1318513,-39.66171014,6975.643617,3774593.397
1.617253227,-103.7060584,-39.9633558,5880.472463,2680115.954
0.987484022,-103.7509261,-40.33206189,3602.280236,1004650.636
0.987384949,-103.9759056,-39.98026028,3590.748458,999258.7058
2.707730106,-104.1291639,-40.14800796,9861.533652,7533296.443
1.584867601,-104.9871442,-39.98775911,5763.947358,2574770.837
0.941645556,-104.5391579,-39.93042201,3422.918298,908162.0899
0.814877304,-105.0119794,-40.49596299,2976.975846,685799.5654
1.020426813,-104.5858053,-41.09045762,3748.087492,1085088.718
1.101233196,-104.7721853,-41.09769291,4045.16344,1263886.126
0.842570847,-104.9362319,-41.03193032,3093.147997,739142.0539
1.037453177,-105.0628538,-41.0133901,3807.92953,1120288.287
0.880350126,-104.7855215,-40.94803945,3229.356084,805885.4961
0.903374418,-104.9691763,-40.59084954,3303.094463,844041.0164
1.031371771,-104.3637297,-40.57451095,3770.549146,1099897.912
4.204743322,-106.8873995,-40.97889586,15428.46345,18392662.29
2.289305305,-106.170381,-41.11987457,8411.030851,5463909.894
1.712198887,-107.0567207,-40.47135067,6253.764938,3026648.174
1.149328543,-105.6452284,-41.21514003,4226.410693,1379163.919
0.939602606,-106.0678665,-41.00517664,3448.513339,918812.8991
0.949659399,-105.9658358,-40.5725045,3471.757633,932490.9277
1.198823,-105.9525971,-40.42628471,4376.907337,1482765.34
2.236244671,-105.6191822,-40.31010284,8156.088572,5150534.482
0.857881283,-105.7632264,-40.35495063,3130.135245,758501.8636
0.945733223,-105.6970377,-39.96605346,3438.84885,916541.102
1.123297964,-105.5562669,-40.24126716,4094.41854,1298259.423
1.49326454,-106.3911629,-40.76400043,5468.514698,2312221.763
1.318090494,-106.5939557,-40.55396207,4817.862106,1795887.052
1.666297083,-107.4474862,-40.54442786,6090.099381,2869667.727
1.026184111,-108.779158,-40.88834289,3762.262029,1094008.858
0.953971664,-108.5057248,-40.79109207,3494.418184,944069.6469
1.281327131,-108.3982153,-40.71695858,4690.374818,1701252.909
1.74322834,-108.3648141,-41.15318749,6406.682148,3169751.372
0.951587959,-107.5111752,-40.84643705,3487.441041,940141.7102
1.371051237,-108.0008215,-39.71509623,4974.4976,1919264.679
1.322527462,-107.9358852,-39.78689804,4801.430625,1787679.107
1.665228451,-108.2616355,-39.68917808,6040.487158,2830166.829
1.007971771,-109.577323,-41.02454846,3700.097938,1057701.448
0.933719629,-109.5668705,-40.87803292,3422.941028,905598.2821
0.824218697,-109.5183705,-40.95155993,3023.548573,706432.3237
0.884532236,-108.8321084,-40.46986202,3230.689446,807739.3005
0.895084793,-109.0699753,-40.43422196,3268.189759,826688.498
0.809273355,-109.3002529,-40.04981114,2944.81989,671951.6244
1.678936657,-109.5587067,-40.15383738,6114.989699,2896544.378
3.471513224,-109.7737215,-39.69452627,12593.22864,12300867.21
2.710235758,-110.2877059,-40.03921608,9861.209088,7535190.008
1.443719326,-110.0235414,-40.47037872,5273.103939,2151853.853
0.847751112,-110.4390494,-40.02696643,3084.215597,737120.9809
8.707447641,-110.0424299,-37.9171167,31123.48809,75482141.32
1.150628332,-108.9500048,-39.4677806,4165.870145,1346936.977
0.851298254,-108.858786,-38.99848254,3069.905519,732379.1726
0.81695993,-110.4238538,-39.1623363,2950.142927,676055.9499
1.403135212,-110.0670956,-38.84425165,5053.390932,1985306.32
4.702342344,-109.1028807,-36.32279103,16602.27685,21554776.81
1.112890934,-108.9233683,-37.41436223,3962.082727,1224688.495
1.01294142,-110.0372253,-37.21236647,3600.580273,1011863.979
0.893462976,-109.2530255,-36.63747271,3161.948602,781325.1471
10.33927756,-109.3115675,-35.39270437,36257.47285,102991218
2.292071495,-109.1884217,-36.04097267,8075.618712,5102804.194
1.2186091,-108.903808,-35.00820587,4261.759213,1423941.933
0.86273167,-110.0044874,-35.13278993,3019.820766,714789.0349
1.161115103,-109.9889785,-35.54521512,4076.214978,1301348.417
0.855344234,-109.2550274,-35.59303277,3003.808591,706617.0199
1.039532612,-109.2716475,-35.70189596,3653.516226,1045129.88
