x_coord_m,y_coord_m,area_sqm,Radius_m,Diameter_m
-3132106.061,-1195723.075,1548839.386,702.1473412,1404.294682
-3113943.256,-1198465.01,677299.4347,464.3178932,928.6357864
-3116650.258,-1185413.336,1725350.294,741.0776313,1482.155263
-3117157.628,-1174950.621,3233078.421,1014.455925,2028.911851
-3136812.679,-1176830.586,3229185.546,1013.845,2027.69
-3139819.22,-1176598.38,1376768.867,661.9963304,1323.992661
-3144173.511,-1167054.77,793817.5594,502.6728329,1005.345666
-3123164.098,-1164640.656,5410707.487,1312.357301,2624.714601
-3127349.554,-1166854.572,5909722.337,1371.540391,2743.080782
-3103096.155,-1152080.869,2681434.268,923.8652698,1847.73054
-3106595.523,-1156721.104,2812851.504,946.23382,1892.46764
-3292766.411,-1144184.963,922836.9603,541.9853576,1083.970715
-3290566.622,-1140165.429,1076071.611,585.2556979,1170.511396
-3273381.888,-1132801.583,732338.6295,482.8153123,965.6306246
-3279470.958,-1127539.185,1644050.649,723.4069221,1446.813844
-3279368.349,-1124458.756,1572222.066,707.4276124,1414.855225
-3284361.279,-1118833.091,4405111.063,1184.141208,2368.282416
-3253369.906,-1126705.726,705607.3013,473.9217021,947.8434043
-3262296.453,-1127158.497,1134113.24,600.8323031,1201.664606
-3256911.947,-1104596.434,2608707.61,911.2504718,1822.500944
-3253331.749,-1109280.943,979345.7377,558.3327237,1116.665447
-3298083.948,-1140524.388,6412878.938,1428.734673,2857.469345
-3265940.178,-1093901.192,4649754.683,1216.578351,2433.156702
-3268772.779,-1099673.528,3094942.963,992.5477028,1985.095406
-3253410.409,-1075246.52,1954689.788,788.7947033,1577.589407
-3264998.79,-1086730.13,1159573.44,607.5390437,1215.078087
-3295128.129,-1069581.315,844807.5775,518.5659108,1037.131822
-3290953.463,-1061648.702,830292.9593,514.0918764,1028.183753
-3115503.38,-1211106.382,6161204.617,1400.41863,2800.837261
-3101395.228,-1247731.008,1899380.501,777.5548798,1555.10976
-3101565.996,-1246155.469,690666.817,468.8774636,937.7549273
-3118563.63,-1246445.459,812263.3775,508.4795603,1016.959121
-3125643.006,-1248650.255,2552715.587,901.4181094,1802.836219
-3134660.001,-1246155.191,1548321.66,702.0299789,1404.059958
-3129742.107,-1239611.417,2475176.097,887.6221166,1775.244233
-3111444.146,-1223479.228,3298756.689,1024.708186,2049.416372
-3112975.263,-1221977.067,2202298.817,837.265481,1674.530962
-3125302.029,-1221511.658,2328811.252,860.9783067,1721.956613
-3114392.236,-1203966.816,5997370.024,1381.673684,2763.347369
-3103052.708,-1202950.377,2054287.351,808.6408182,1617.281636
-3109758.014,-1207655.509,1361962.205,658.4269393,1316.853879
-3127303.266,-1202675.99,3774593.397,1096.125173,2192.250346
-3144715.149,-1211822.881,2680115.954,923.638135,1847.27627
-3146075.69,-1223003.261,1004650.636,565.499982,1130.999964
-3152897.821,-1212335.457,999258.7058,563.9804295,1127.960859
-3157545.127,-1217422.225,7533296.443,1548.522758,3097.045517
-3183561.964,-1212562.87,2574770.837,905.303823,1810.607646
-3169977.518,-1210824.193,908162.0899,537.6587872,1075.317574
-3184315.05,-1227973.287,685799.5654,467.2224113,934.4448226
-3171392.022,-1246000.362,1085088.718,587.7027023,1175.405405
-3177043.691,-1246219.763,1263886.126,634.2771074,1268.554215
-3182018.133,-1244225.613,739142.0539,485.0528044,970.1056088
-3185857.733,-1243663.417,1120288.287,597.1589715,1194.317943
-3177448.088,-1241681.761,805885.4961,506.4793387,1012.958677
-3183017.117,-1230850.567,844041.0164,518.3305894,1036.661179
-3164657.947,-1230355.13,1099897.912,591.6995683,1183.399137
-3241184.071,-1242617.695,18392662.29,2419.621094,4839.242189
-3219441.667,-1246892.448,5463909.894,1318.793591,2637.587183
-3246318.457,-1227226.994,3026648.174,981.5355499,1963.0711
-3203517.28,-1249781.155,1379163.919,662.5718905,1325.143781
-3216333.085,-1243414.354,918812.8991,540.802394,1081.604788
-3213239.173,-1230294.285,932490.9277,544.8128863,1089.625773
-3212837.729,-1225860.42,1482765.34,687.0071808,1374.014362
-3202727.472,-1222337.45,5150534.482,1280.416356,2560.832712
-3207095.375,-1223697.32,758501.8636,491.3640625,982.7281249
-3205088.312,-1211904.657,916541.102,540.1334038,1080.266808
-3200819.672,-1220250.065,1298259.423,642.8443118,1285.688624
-3226136.515,-1236101.104,2312221.763,857.9061989,1715.812398
-3232285.873,-1229732.03,1795887.052,756.0744692,1512.148938
-3258167.776,-1229442.936,2869667.727,955.7424379,1911.484876
-3298548.526,-1239871.566,1094008.858,590.1134085,1180.226817
-3290257.115,-1236922.593,944069.6469,548.1849158,1096.369832
-3286997.067,-1234674.629,1701252.909,735.8842434,1471.768487
-3285984.231,-1247902.573,3169751.372,1004.471602,2008.943203
-3260099.04,-1238600.838,940141.7102,547.0433262,1094.086652
-3274946.757,-1204294.808,1919264.679,781.6143048,1563.22861
-3272977.67,-1206472.078,1787679.107,754.3447043,1508.689409
-3282855.51,-1203508.896,2830166.829,949.1417604,1898.283521
-3322751.565,-1244001.775,1057701.448,580.2385955,1160.477191
-3322434.61,-1239558.931,905598.2821,536.8993259,1073.798652
-3320963.927,-1241788.513,706432.3237,474.1986847,948.3973694
-3300154.16,-1227181.82,807739.3005,507.0615395,1014.123079
-3307367.083,-1226101.094,826688.498,512.9747769,1025.949554
-3314349.87,-1214444.468,671951.6244,462.4811835,924.962367
-3322187.057,-1217598.925,2896544.378,960.2076396,1920.415279
-3328707.025,-1203671.21,12300867.21,1978.759116,3957.518233
-3344292.752,-1214123.291,7535190.008,1548.717364,3097.434728
-3336282.401,-1227197.508,2151853.853,827.6209005,1655.241801
-3348881.997,-1213751.74,737120.9809,484.3891984,968.7783968
-3336855.164,-1149775.079,75482141.32,4901.70499,9803.409981
-3303729.175,-1196795.361,1346936.977,654.7849691,1309.569938
-3300963.115,-1182564.663,732379.1726,482.8286767,965.6573535
-3348421.215,-1187533.257,676055.9499,463.8914663,927.7829325
-3337603.109,-1177887.883,1985306.32,794.9481926,1589.896385
-3308364.883,-1101429.013,21554776.81,2619.369877,5238.739754
-3302921.467,-1134528.834,1224688.495,624.3640408,1248.728082
-3336697.342,-1128403.643,1011863.979,567.5264822,1135.052964
-3312917.778,-1110970.934,781325.1471,498.7018334,997.4036668
-3314692.968,-1073226.743,102991218,5725.654799,11451.3096
-3310958.772,-1092883.113,5102804.194,1274.469702,2548.939405
-3302328.332,-1061566.113,1423941.933,673.2420031,1346.484006
-3335704.62,-1065343.91,714789.0349,476.9951953,953.9903906
-3335234.338,-1077850.031,1301348.417,643.6086282,1287.217256
-3312978.482,-1079300.015,706617.0199,474.2606701,948.5213401
-3313482.457,-1082601.116,1045129.88,576.7800041,1153.560008
-3304627.257,-1253559.525,6498176.939,1438.205118,2876.410236
-3301501.075,-1252419.987,744336.361,486.7541703,973.5083407
-3315365.021,-1255191.76,972603.1509,556.4074031,1112.814806
-3313422.606,-1262112.358,1086454.871,588.072552,1176.145104
-3307123.247,-1272973.705,964969.7752,554.219649,1108.439298
-3308733.997,-1271171.759,760971.3792,492.1632992,984.3265985
-3313503.512,-1274635.093,2321141.828,859.5594168,1719.118834
-3315710.328,-1279132.483,1931758.452,784.1542022,1568.308404
-3315149.143,-1294896.7,3302271.958,1025.254023,2050.508045
-3306831.769,-1294522.991,809577.8752,507.6382977,1015.276595
-3302003.764,-1290544.092,1489052.399,688.4621265,1376.924253
-3310923.337,-1287798.991,1165080.582,608.9800222,1217.960044
-3321358.94,-1280127.969,811424.7368,508.2169966,1016.433993
-3332401.543,-1268231.619,724571.9836,480.2482958,960.4965916
-3347722.133,-1272375.683,691078.9294,469.0173295,938.034659
-3346276.026,-1295715.007,1135684.865,601.2484679,1202.496936
-3348917.779,-1293960.829,744063.2631,486.6648668,973.3297336
-3342227.705,-1292785.547,1168619.575,609.9042251,1219.80845
-3339779.856,-1295382.026,1436948.021,676.3096636,1352.619327
-3336377.515,-1287405.425,703387.2779,473.1755746,946.3511491
-3333001.671,-1280438.87,1222302.551,623.7555498,1247.5111
-3333016.054,-1279012.189,879819.4805,529.2024553,1058.404911
-3306960.92,-1281499.19,1038345.484,574.9048903,1149.809781
-3286595.984,-1254619.729,1233266.166,626.5467365,1253.093473
-3288678.036,-1257810.234,1818638.353,760.8485836,1521.697167
-3250449.441,-1265957.772,2053789.567,808.5428395,1617.085679
-3266964.451,-1264666.489,4105733.926,1143.19539,2286.390779
-3258008.934,-1267902.641,1378670.395,662.4533315,1324.906663
-3252727.528,-1268798.986,932637.9911,544.8558459,1089.711692
-3250075.702,-1275744.03,1672654.732,729.6728974,1459.345795
-3252763.468,-1281554.92,1612271.466,716.3811463,1432.762293
-3257563.905,-1278636.678,1005721.465,565.8012769,1131.602554
-3254911.115,-1291015.804,1221729.409,623.6092921,1247.218584
-3276218.608,-1287607.991,796603.8457,503.5542468,1007.108494
-3267199.591,-1293163.392,871732.4204,526.7646984,1053.529397
-3296463.826,-1299388.952,2673673.799,922.5273993,1845.054799
-3288329.306,-1296048.587,934629.2171,545.4371822,1090.874364
-3282244.847,-1298447.334,1208411.197,620.2009598,1240.40192
-3298348.755,-1287532.988,1806001.455,758.2005788,1516.401158
-3283037.697,-1276059.257,1464206.139,682.6941406,1365.388281
-3280661.35,-1270962.162,1033371.691,573.5263074,1147.052615
-3283283.814,-1274019.339,742926.8319,486.2930755,972.5861511
-3292278.643,-1277682.344,1292924.777,641.5222043,1283.044409
-3294917.032,-1273795.866,804789.2155,506.1347287,1012.269457
-3199355.151,-1257041.13,8215042.361,1617.074271,3234.148543
-3249003.36,-1256603.965,2032618.636,804.3647224,1608.729445
-3241102.143,-1259324.549,2380458.887,870.4732031,1740.946406
-3240834.622,-1262118.788,1409491.092,669.8171013,1339.634203
-3223962.345,-1268112.412,4045201.99,1134.736879,2269.473758
-3245897.161,-1258169.934,2599221.826,909.5922183,1819.184437
-3231713.591,-1252444.35,2215910.151,839.8488603,1679.697721
-3220248.698,-1260011.76,2035361.23,804.9072005,1609.814401
-3224170.588,-1266072.887,1355845.655,656.9467833,1313.893567
-3201378.335,-1258760.676,3449163.99,1047.808664,2095.617329
-3225852.842,-1279945.535,4689200.831,1221.727868,2443.455736
